[Info] Start offline testing, model: out_prod/TR/1000000/2020-04-08_22-10-53_rscale_False_statevars_8_hidinit_glorot_uniform_hidact_leakyrelu_batch_32_mem_200000_1000_opt_sgd_lr_0.01_isplit_n_100_k_10_d_0.01/1/models/weights_1000056.h5
[Info] Offline Testing with N=200, K=10, Delta=0.01. Num iterations=50
 3267/inf: episode: 49, level: 0, particle: 48, episode steps: 67, episode reward: 0.8877, episode rob: 0.1192, new memory entries: 68
 3334/inf: episode: 50, level: 0, particle: 49, episode steps: 67, episode reward: 0.8410, episode rob: 0.1731, new memory entries: 68
 3400/inf: episode: 51, level: 0, particle: 50, episode steps: 66, episode reward: 0.8597, episode rob: 0.1511, new memory entries: 67
 3467/inf: episode: 52, level: 0, particle: 51, episode steps: 67, episode reward: 0.8434, episode rob: 0.1703, new memory entries: 68
 3534/inf: episode: 53, level: 0, particle: 52, episode steps: 67, episode reward: 0.8584, episode rob: 0.1527, new memory entries: 68
 3601/inf: episode: 54, level: 0, particle: 53, episode steps: 67, episode reward: 0.8535, episode rob: 0.1584, new memory entries: 68
 3667/inf: episode: 55, level: 0, particle: 54, episode steps: 66, episode reward: 0.8782, episode rob: 0.1299, new memory entries: 67
 3734/inf: episode: 56, level: 0, particle: 55, episode steps: 67, episode reward: 0.8772, episode rob: 0.1311, new memory entries: 68
 3800/inf: episode: 57, level: 0, particle: 56, episode steps: 66, episode reward: 0.8976, episode rob: 0.1080, new memory entries: 67
 3866/inf: episode: 58, level: 0, particle: 57, episode steps: 66, episode reward: 0.8828, episode rob: 0.1247, new memory entries: 67
 3934/inf: episode: 59, level: 0, particle: 58, episode steps: 68, episode reward: 0.8401, episode rob: 0.1742, new memory entries: 69
 4001/inf: episode: 60, level: 0, particle: 59, episode steps: 67, episode reward: 0.8429, episode rob: 0.1709, new memory entries: 68
 4068/inf: episode: 61, level: 0, particle: 60, episode steps: 67, episode reward: 0.8576, episode rob: 0.1536, new memory entries: 68
 4135/inf: episode: 62, level: 0, particle: 61, episode steps: 67, episode reward: 0.8501, episode rob: 0.1624, new memory entries: 68
 4202/inf: episode: 63, level: 0, particle: 62, episode steps: 67, episode reward: 0.8175, episode rob: 0.2015, new memory entries: 68
 4269/inf: episode: 64, level: 0, particle: 63, episode steps: 67, episode reward: 0.8304, episode rob: 0.1859, new memory entries: 68
 4336/inf: episode: 65, level: 0, particle: 64, episode steps: 67, episode reward: 0.8428, episode rob: 0.1711, new memory entries: 68
 4403/inf: episode: 66, level: 0, particle: 65, episode steps: 67, episode reward: 0.8700, episode rob: 0.1392, new memory entries: 68
 4468/inf: episode: 67, level: 0, particle: 66, episode steps: 65, episode reward: 0.8699, episode rob: 0.1394, new memory entries: 66
 4535/inf: episode: 68, level: 0, particle: 67, episode steps: 67, episode reward: 0.8441, episode rob: 0.1695, new memory entries: 68
 4601/inf: episode: 69, level: 0, particle: 68, episode steps: 66, episode reward: 0.8597, episode rob: 0.1511, new memory entries: 67
 4667/inf: episode: 70, level: 0, particle: 69, episode steps: 66, episode reward: 0.8772, episode rob: 0.1310, new memory entries: 67
 4733/inf: episode: 71, level: 0, particle: 70, episode steps: 66, episode reward: 0.8351, episode rob: 0.1802, new memory entries: 67
 4799/inf: episode: 72, level: 0, particle: 71, episode steps: 66, episode reward: 0.8386, episode rob: 0.1760, new memory entries: 67
 4866/inf: episode: 73, level: 0, particle: 72, episode steps: 67, episode reward: 0.8607, episode rob: 0.1500, new memory entries: 68
 4932/inf: episode: 74, level: 0, particle: 73, episode steps: 66, episode reward: 0.8592, episode rob: 0.1518, new memory entries: 67
 4999/inf: episode: 75, level: 0, particle: 74, episode steps: 67, episode reward: 0.8600, episode rob: 0.1509, new memory entries: 68
 5067/inf: episode: 76, level: 0, particle: 75, episode steps: 68, episode reward: 0.8325, episode rob: 0.1834, new memory entries: 69
 5135/inf: episode: 77, level: 0, particle: 76, episode steps: 68, episode reward: 0.8490, episode rob: 0.1637, new memory entries: 69
 5203/inf: episode: 78, level: 0, particle: 77, episode steps: 68, episode reward: 0.8336, episode rob: 0.1820, new memory entries: 69
 5270/inf: episode: 79, level: 0, particle: 78, episode steps: 67, episode reward: 0.8690, episode rob: 0.1404, new memory entries: 68
 5336/inf: episode: 80, level: 0, particle: 79, episode steps: 66, episode reward: 0.8801, episode rob: 0.1277, new memory entries: 67
 5403/inf: episode: 81, level: 0, particle: 80, episode steps: 67, episode reward: 0.8722, episode rob: 0.1368, new memory entries: 68
 5470/inf: episode: 82, level: 0, particle: 81, episode steps: 67, episode reward: 0.8416, episode rob: 0.1724, new memory entries: 68
 5537/inf: episode: 83, level: 0, particle: 82, episode steps: 67, episode reward: 0.8601, episode rob: 0.1508, new memory entries: 68
 5603/inf: episode: 84, level: 0, particle: 83, episode steps: 66, episode reward: 0.8662, episode rob: 0.1436, new memory entries: 67
 5670/inf: episode: 85, level: 0, particle: 84, episode steps: 67, episode reward: 0.8336, episode rob: 0.1819, new memory entries: 68
 5737/inf: episode: 86, level: 0, particle: 85, episode steps: 67, episode reward: 0.8425, episode rob: 0.1714, new memory entries: 68
 5804/inf: episode: 87, level: 0, particle: 86, episode steps: 67, episode reward: 0.8602, episode rob: 0.1506, new memory entries: 68
 5871/inf: episode: 88, level: 0, particle: 87, episode steps: 67, episode reward: 0.8605, episode rob: 0.1503, new memory entries: 68
 5937/inf: episode: 89, level: 0, particle: 88, episode steps: 66, episode reward: 0.8754, episode rob: 0.1331, new memory entries: 67
 6004/inf: episode: 90, level: 0, particle: 89, episode steps: 67, episode reward: 0.8530, episode rob: 0.1590, new memory entries: 68
 6071/inf: episode: 91, level: 0, particle: 90, episode steps: 67, episode reward: 0.8211, episode rob: 0.1971, new memory entries: 68
 6138/inf: episode: 92, level: 0, particle: 91, episode steps: 67, episode reward: 0.8230, episode rob: 0.1948, new memory entries: 68
 6205/inf: episode: 93, level: 0, particle: 92, episode steps: 67, episode reward: 0.8591, episode rob: 0.1518, new memory entries: 68
 6273/inf: episode: 94, level: 0, particle: 93, episode steps: 68, episode reward: 0.8313, episode rob: 0.1848, new memory entries: 69
 6340/inf: episode: 95, level: 0, particle: 94, episode steps: 67, episode reward: 0.8564, episode rob: 0.1550, new memory entries: 68
 6408/inf: episode: 96, level: 0, particle: 95, episode steps: 68, episode reward: 0.8245, episode rob: 0.1930, new memory entries: 69
 6475/inf: episode: 97, level: 0, particle: 96, episode steps: 67, episode reward: 0.8424, episode rob: 0.1715, new memory entries: 68
